objectid,filename,material,format,description,content,creator,nianli date,date,subject,location1,location2,latitude,longitude,Content,rights,type,language,relation
n11,2025年 岭门镇山后村正月十七年例 游神队伍中的潮汕英歌舞107人.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%20%E5%B2%AD%E9%97%A8%E9%95%87%E5%B1%B1%E5%90%8E%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%83%E5%B9%B4%E4%BE%8B%20%E6%B8%B8%E7%A5%9E%E9%98%9F%E4%BC%8D%E4%B8%AD%E7%9A%84%E6%BD%AE%E6%B1%95%E8%8B%B1%E6%AD%8C%E8%88%9E107%E4%BA%BA.jpg,image/jpeg,潮汕英歌舞 Chaoshan Yingge Dance,,lisongzezaiz,正月十七 the 17th day of the first lunar month,2025,Customs,岭门镇 Lingmen Town,山后村 Shanhoucun,21.531272,111.429308,"游神队伍中的107人潮汕英歌舞 107 members of the deity procession, Chaoshan Yingge Dance","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/C-0HR7r-veE/ eOk:/ T@Y.zg 12/27 
n12,2025年岭门镇大榜村正月十三年例抢炮头.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E5%B2%AD%E9%97%A8%E9%95%87%E5%A4%A7%E6%A6%9C%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%89%E5%B9%B4%E4%BE%8B%E6%8A%A2%E7%82%AE%E5%A4%B4.jpg,image/jpeg,抢炮头 Qiang Paotou,,,正月十三 the 13th day of the first lunar month,2025,Customs,岭门镇 Lingmen Town,大榜村 Dabangcun,21.547236,111.417147,燃鞭炮 Light firecrackers，放烟花 Fireworks Display，抢炮头 Qiang Paotou，粤剧 Cantonese Opera，走公 Zou gong，舞公 Wu gong,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/01K4uwpjrBI/ usr:/ 01/14 V@L.Jv 
n13,2025年树仔镇山美村正月十三年例（二月初二抢炮头活动）.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%A0%91%E4%BB%94%E9%95%87%E5%B1%B1%E7%BE%8E%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%89%E5%B9%B4%E4%BE%8B%EF%BC%88%E4%BA%8C%E6%9C%88%E5%88%9D%E4%BA%8C%E6%8A%A2%E7%82%AE%E5%A4%B4%E6%B4%BB%E5%8A%A8%EF%BC%89.jpg,image/jpeg,抢炮头 Qiang Paotou，放烟花 Fireworks Display,,2221852233,正月十三 the 13th day of the first lunar month,2025,Customs,树仔镇 Shuzai Town,山美村 Shanmeicun,21.5275,111.228935,二月初二抢炮头 Qiang Paotou,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/uSDMIstZGyU/ FHv:/ q@E.Uy 12/12 
n14,2025年树仔镇乌石村正月初九年例走公.mp4,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%A0%91%E4%BB%94%E9%95%87%E4%B9%8C%E7%9F%B3%E6%9D%91%E6%AD%A3%E6%9C%88%E5%88%9D%E4%B9%9D%E5%B9%B4%E4%BE%8B%E8%B5%B0%E5%85%AC.mp4,video/mp4,走公 Zou gong,,Ljl20201999,正月初九初十 the 9th-10th days of the first lunar month,2025,Customs,树仔镇 Shuzai Town,乌石村 Wushicun,21.527796,111.258531,走公 Zou gong,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;MovingImage,chinese,https://v.douyin.com/Ry6DBgoWuJs/ 11/11 vFh:/ M@j.Cu 
n15,2024年旦场镇旦场村正月十一走公.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E6%97%A6%E5%9C%BA%E9%95%87%E6%97%A6%E5%9C%BA%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%80%E8%B5%B0%E5%85%AC.jpg,image/jpeg,走公 Zou gong,,,正月十一 the 11th day of the first lunar month,2024,Customs,旦场镇 Danchang Town,旦场村 Danchangcun,21.514758,111.096733,摇纸船 Shaking Paper Boats，舞公 Wu gong，走公 Zou gong，摆桌面 Bai zhuomian,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/mhKs6XpIqsQ/ S@y.gB QXm:/ 06/01 
n16,2024年旦场镇旦场村正月十一摆桌面.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E6%97%A6%E5%9C%BA%E9%95%87%E6%97%A6%E5%9C%BA%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%80%E6%91%86%E6%A1%8C%E9%9D%A2.jpg,image/jpeg,摆桌面 Bai zhuomian,,169524764,正月十一 the 11th day of the first lunar month,2024,Customs,旦场镇 Danchang Town,旦场村 Danchangcun,21.514758,111.096733,摇纸船 Shaking Paper Boats，舞公 Wu gong，走公 Zou gong，摆桌面 Bai zhuomian,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/mhKs6XpIqsQ/ S@y.gB QXm:/ 06/01 
n17,2024年旦场镇旦场村正月十一摇纸船.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E6%97%A6%E5%9C%BA%E9%95%87%E6%97%A6%E5%9C%BA%E6%9D%91%E6%AD%A3%E6%9C%88%E5%8D%81%E4%B8%80%E6%91%87%E7%BA%B8%E8%88%B9.jpg,image/jpeg,摇纸船 Shaking Paper Boats,,guangzhouluy67,正月十一 the 11th day of the first lunar month,2025,Customs,旦场镇 Danchang Town,旦场村 Danchangcun,21.514758,111.096733,摇纸船 Shaking Paper Boats，舞公 Wu gong，走公 Zou gong，摆桌面 Bai zhuomian,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/mhKs6XpIqsQ/ S@y.gB QXm:/ 06/01 
n18,2025年林头镇参桥村正月初六摆桌面.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%9E%97%E5%A4%B4%E9%95%87%E5%8F%82%E6%A1%A5%E6%9D%91%E6%AD%A3%E6%9C%88%E5%88%9D%E5%85%AD%E6%91%86%E6%A1%8C%E9%9D%A2.jpg,image/jpeg,摆桌面 Bai zhuomian,,guangzhouluy67,正月初六 the 6th day of the first lunar month,2025,Customs,林头镇 Lintou Town,参桥村 Canqiaocun,21.663044,111.034242,摆桌面 Bai zhuomian，烧鞭炮 Light firecrackers,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/e16e-QFVsTo/ 07/14 lpD:/ p@Q.xF 
n19,2025年林头镇参桥村正月初六游神.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E6%9E%97%E5%A4%B4%E9%95%87%E5%8F%82%E6%A1%A5%E6%9D%91%E6%AD%A3%E6%9C%88%E5%88%9D%E5%85%AD%E6%B8%B8%E7%A5%9E.jpg,image/jpeg,游神 Deity Procession,,699784322,正月初六 the 6th day of the first lunar month,2025,Customs,林头镇 Lintou Town,参桥村 Canqiaocun,21.663044,111.034242,三轮车游神 Tricycle Deity Procession，燃鞭炮 Light firecrackers,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/9cZAmwtCHV8/ R@k.cn 06/30 BTL:/ 
n20,2025年观珠镇严坑村正月初六年例晚上游神走火把.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E8%A7%82%E7%8F%A0%E9%95%87%E4%B8%A5%E5%9D%91%E6%9D%91%E6%AD%A3%E6%9C%88%E5%88%9D%E5%85%AD%E5%B9%B4%E4%BE%8B%E6%99%9A%E4%B8%8A%E6%B8%B8%E7%A5%9E%E8%B5%B0%E7%81%AB%E6%8A%8A.jpg,image/jpeg,走火把 Zou huoba,,699784322,正月初六 the 6th day of the first lunar month,2025,Customs,观珠镇 Guanzhu Town,严坑村 Yankengcun,21.720836,111.26711,走火把 Zou huoba，放烟花 Fireworks Display，燃鞭炮 Light firecrackers，走公 Zou gong，放烟花 Fireworks Display，粤剧 Cantonese Opera,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/0z1txV_kLOA/ RxF:/ n@d.Ag 05/25 
n21,2025年观珠镇严坑村正月初六年例晚上游神队伍.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E8%A7%82%E7%8F%A0%E9%95%87%E4%B8%A5%E5%9D%91%E6%9D%91%E6%AD%A3%E6%9C%88%E5%88%9D%E5%85%AD%E5%B9%B4%E4%BE%8B%E6%99%9A%E4%B8%8A%E6%B8%B8%E7%A5%9E%E9%98%9F%E4%BC%8D.jpg,image/jpeg,游神 Deity Procession,,weiniliuguoh48,正月初六 the 6th day of the first lunar month,2025,Customs,观珠镇 Guanzhu Town,严坑村 Yankengcun,21.720836,111.26711,走火把 Zou huoba，放烟花 Fireworks Display，燃鞭炮 Light firecrackers，走公 Zou gong，放烟花 Fireworks Display，粤剧 Cantonese Opera,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/0z1txV_kLOA/ RxF:/ n@d.Ag 05/25 
n22,2025年观珠镇严坑村正月初六年例晚上烟花.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2025%E5%B9%B4%E8%A7%82%E7%8F%A0%E9%95%87%E4%B8%A5%E5%9D%91%E6%9D%91%E6%AD%A3%E6%9C%88%E5%88%9D%E5%85%AD%E5%B9%B4%E4%BE%8B%E6%99%9A%E4%B8%8A%E7%83%9F%E8%8A%B1.jpg,image/jpeg,放烟花 Fireworks Display,,WNT55678,正月初六 the 6th day of the first lunar month,2025,Customs,观珠镇 Guanzhu Town,严坑村 Yankengcun,21.720836,111.26711,走火把 Zou huoba，放烟花 Fireworks Display，燃鞭炮 Light firecrackers，走公 Zou gong，放烟花 Fireworks Display，粤剧 Cantonese Opera,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/0z1txV_kLOA/ RxF:/ n@d.Ag 05/25 
n23,2024年霞洞镇霞洞墟二月初二年例宴席.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E9%9C%9E%E6%B4%9E%E9%95%87%E9%9C%9E%E6%B4%9E%E5%A2%9F%E4%BA%8C%E6%9C%88%E5%88%9D%E4%BA%8C%E5%B9%B4%E4%BE%8B%E5%AE%B4%E5%B8%AD.jpg,image/jpeg,宴席 Feast,,WNT55678,二月初二 the 2nd day of the second lunar month,2024,Customs,霞洞镇 Xiadong Town,霞洞墟 Xiadongxu,21.737292,111.111451,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,Friend
n24,2024年黄岭镇彩楼村年例八月二十七拖拉机出游.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E9%BB%84%E5%B2%AD%E9%95%87%E5%BD%A9%E6%A5%BC%E6%9D%91%E5%B9%B4%E4%BE%8B%E5%85%AB%E6%9C%88%E4%BA%8C%E5%8D%81%E4%B8%83%E6%8B%96%E6%8B%89%E6%9C%BA%E5%87%BA%E6%B8%B8.jpg,image/jpeg,游神 Deity Procession,,,八月二十七 the 27th day of the eighth lunar month,2024,Customs,黄岭镇 Huangling Town,彩楼 Cailou,21.827881,111.120075,拖拉机游神Tractor Deity Procession,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/f3kDGVHDhmU/ 02/19 Nwf:/ V@Y.Zz 
n25,2024年二月初二那霍石塘村游神（游天师）.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2024%E5%B9%B4%E4%BA%8C%E6%9C%88%E5%88%9D%E4%BA%8C%E9%82%A3%E9%9C%8D%E7%9F%B3%E5%A1%98%E6%9D%91%E6%B8%B8%E7%A5%9E%EF%BC%88%E6%B8%B8%E5%A4%A9%E5%B8%88%EF%BC%89.jpg,image/jpeg,游神 Deity Procession,,,二月初二 the 2nd day of the second lunar month,2024,Customs,那霍镇 Nahuo Town,石塘村 Shitangcun,21.881773,111.239773,游神准备Preparations for the Deity Procession，俗称二月二龙抬头游天师commonly known as You tianshi,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/PhYihMUqbPQ/ S@L.jc jcN:/ 12/27 
n26,2023年沙琅镇年例三月初三邀请潮汕英歌舞表演.jpg,https://github.com/liangxiaolei401/nianli/blob/dbb9ed4432fd16809b9810daf3ae461fef7e6cd0/2023%E5%B9%B4%E6%B2%99%E7%90%85%E9%95%87%E5%B9%B4%E4%BE%8B%E4%B8%89%E6%9C%88%E5%88%9D%E4%B8%89%E9%82%80%E8%AF%B7%E6%BD%AE%E6%B1%95%E8%8B%B1%E6%AD%8C%E8%88%9E%E8%A1%A8%E6%BC%94.jpg,image/jpeg,潮汕英歌舞 Chaoshan Yingge Dance,,Zalmanoff,三月初三 the 3rd day of the third lunar month,2023,Customs,沙琅镇 Shalang Town,,21.777369,111.222001,"与文化节同庆 Celebrate the cultural festival together，包括邀请外地的潮汕英歌舞，吴川飘色，还有当地美食街 inviting the Chaoshan Yangge dance and Wuchuan Piaose, with a local food street","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,chinese,https://v.douyin.com/UkeFiw1dC7s/ 08/20 eoD:/ I@V.yg 
